timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1535252460431088,-1,4,-2,-6,-2,1,0,-1
1535252460431088,-1,-8,-1,-5,-6,0,-1,-1
1535252460433095,0,10,4,-3,4,1,-1,0
1535252460433095,-2,-25,1,-2,1,-1,0,1
1535252460454180,-2,23,0,-2,3,-1,1,-3
1535252460454180,-4,-1,-2,-1,1,4,2,0
1535252460456158,-2,-42,-8,-12,-12,-6,-6,-2
1535252460456158,1,-17,6,7,0,2,2,1
1535252460467215,-2,25,-7,-2,2,1,1,2
1535252460467215,1,5,-2,-13,-10,-4,-3,-1
1535252460477212,0,-20,-1,-8,-2,-5,-2,0
1535252460477212,0,-3,-3,12,6,6,0,0
1535252460491250,1,28,-4,-3,0,-2,-3,-2
1535252460491250,-4,-42,5,-3,-1,-1,0,-1
1535252460497265,0,-30,-4,-3,-5,0,0,1
1535252460497265,0,15,-4,-4,1,1,1,-1
1535252460513310,0,-13,-2,-4,-4,-1,-2,0
1535252460513310,-1,-12,-5,-8,1,1,-1,-1
1535252460515313,-4,-6,-5,-2,-3,0,1,-2
1535252460515313,-1,-3,-3,-4,-5,-4,-2,0
1535252460527902,-3,-3,1,5,2,1,0,-1
1535252460527902,3,5,2,-6,-5,-2,0,0
1535252460536370,1,-10,6,3,2,2,2,2
1535252460536370,-2,-20,-7,-9,-3,-5,-3,-1
1535252460551446,-1,26,7,8,-3,0,-2,-1
1535252460551446,-2,3,0,6,5,1,1,-1
1535252460553284,-2,9,2,3,3,-1,-4,-2
1535252460553284,-1,4,2,-3,4,2,1,0
1535252460573518,-1,14,-2,2,-6,-4,-2,-2
1535252460573518,0,-4,1,10,2,-1,-1,-1
1535252460575564,0,55,0,-1,2,-1,-1,-1
1535252460575564,-1,29,1,6,1,-2,0,-2
1535252460587547,-2,15,0,-7,-3,-3,-2,0
1535252460587547,1,23,-6,-2,-1,1,-2,-2
1535252460596538,-1,-112,-1,-4,6,7,3,0
1535252460596538,0,-27,-1,11,0,-1,-1,-1
